smooth,raw,prob,normit,gombit,base2,base10,smooth_obj,raw_obj,prob_obj,normit_obj,gombit_obj,base2_obj,base10_obj,img_freq,instance_freq,fractal_dimension
13.119179443375804,inf,inf,inf,inf,inf,inf,15.121065455665024,inf,inf,inf,inf,inf,inf,0,0,1
9.29053804688671,8.312511499689709,8.312266042688453,3.4856985751451743,8.312388773699254,11.992419117934825,3.6100778750725655,10.751617603198001,9.7643558922607,9.764298426839396,3.8567011256695074,9.764327159687058,14.086987823239442,4.2406058833483256,45,78,1.7978453644373014
10.721284170577434,9.816588896465984,9.816534355672184,3.8694556664489355,9.816561626193728,14.162344119377137,4.263290388847909,12.482008126049765,11.556115361488756,11.55610578414786,4.274524200056138,11.55611057281768,16.671950323960598,5.0187571337319685,10,13,1.3413439854019498
9.861082905354323,8.90029816459183,8.900161807029363,3.6399447638861844,8.900229986585204,12.840416024489775,3.8653503801758715,11.719868074002868,10.753768888963817,10.753747524000515,4.092202800132564,10.753758206499535,15.514409046974118,4.67030248813985,25,29,1.3888496767620264
10.174740464209364,9.228802231563865,9.228704055993141,3.7236777602217277,9.228753144179898,13.314347212822186,4.008017883744603,11.753769625678549,10.788860208775088,10.788839580542255,4.100330565547422,10.788849894675678,15.565035120044087,4.685542454696586,18,28,1.484708069097465
9.900303618507603,8.941120159112083,8.940989256209125,3.6504427363305743,8.941054708374946,12.899309713543342,3.883079147136303,10.65515733701044,9.666717422696784,9.666654063199395,3.832757247006591,9.66668574311576,13.946125287399592,4.198202034795238,24,86,1.7698948071603486
9.455617797246159,8.481587829733643,8.48138055888991,3.5306762669995897,8.48148419610156,12.236344700820913,3.683506792231099,10.610205949148172,9.621255048620027,9.621188742071567,3.8215626765250326,9.62122189552982,13.880536945772016,4.17845797659948,38,90,1.6786109761971515
9.861082905354323,8.90029816459183,8.900161807029363,3.6399447638861844,8.900229986585204,12.840416024489775,3.8653503801758715,10.358891520867267,9.367474527843926,9.36738906525181,3.758525121261206,9.367431796851843,13.514409046974118,4.068242496811887,25,116,1.6095888312879107
10.28596609931959,9.346585267220249,9.346498000522255,3.7532942604343216,9.346541634188497,13.484272214264498,4.059170406191984,11.902189630796823,10.943010888602346,10.942993207285971,4.1358629521299175,10.943002047954668,15.787427541380534,4.752489244327199,16,24,1.6729744092589334
9.148887529823682,8.167930270878601,8.167646626261584,3.4468283738196863,8.167788451922192,11.783832496123408,3.54728704521311,10.610205949148172,9.621255048620027,9.621188742071567,3.8215626765250326,9.62122189552982,13.880536945772016,4.17845797659948,52,90,1.6762737834886092
